Step: [1/67851] train_min_loss: [3.6899] train_acc: [0.0700] test_min_loss: [3.4251] test_acc: [0.1100]
Step: [251/67851] train_min_loss: [1.2502] train_acc: [0.6300] test_min_loss: [1.7063] test_acc: [0.5000]
Step: [501/67851] train_min_loss: [1.2184] train_acc: [0.5800] test_min_loss: [1.6001] test_acc: [0.5300]
Step: [751/67851] train_min_loss: [0.8604] train_acc: [0.6500] test_min_loss: [1.4303] test_acc: [0.5500]
Step: [1001/67851] train_min_loss: [0.7155] train_acc: [0.7500] test_min_loss: [1.3575] test_acc: [0.6100]
Step: [1251/67851] train_min_loss: [0.7471] train_acc: [0.7300] test_min_loss: [1.3767] test_acc: [0.5900]
Step: [1501/67851] train_min_loss: [0.5067] train_acc: [0.8400] test_min_loss: [1.3076] test_acc: [0.6400]
Step: [1751/67851] train_min_loss: [0.4986] train_acc: [0.8800] test_min_loss: [1.3424] test_acc: [0.6300]
Step: [2001/67851] train_min_loss: [0.5952] train_acc: [0.8200] test_min_loss: [1.2830] test_acc: [0.6200]
Step: [2251/67851] train_min_loss: [0.3156] train_acc: [0.9000] test_min_loss: [1.3470] test_acc: [0.6200]
Step: [2501/67851] train_min_loss: [0.5433] train_acc: [0.7900] test_min_loss: [1.8120] test_acc: [0.5700]
Step: [2751/67851] train_min_loss: [0.4634] train_acc: [0.8500] test_min_loss: [1.1375] test_acc: [0.5900]
Step: [3001/67851] train_min_loss: [0.4720] train_acc: [0.8200] test_min_loss: [1.2961] test_acc: [0.6700]
Step: [3251/67851] train_min_loss: [0.2346] train_acc: [0.9000] test_min_loss: [1.7685] test_acc: [0.6300]
Step: [3501/67851] train_min_loss: [0.2973] train_acc: [0.9000] test_min_loss: [1.7205] test_acc: [0.6600]
Step: [3751/67851] train_min_loss: [0.3496] train_acc: [0.8700] test_min_loss: [1.4850] test_acc: [0.5700]
Step: [4001/67851] train_min_loss: [0.2938] train_acc: [0.8800] test_min_loss: [1.3624] test_acc: [0.6800]
Step: [4251/67851] train_min_loss: [0.1998] train_acc: [0.9400] test_min_loss: [2.0524] test_acc: [0.5300]
Step: [4501/67851] train_min_loss: [0.2426] train_acc: [0.9100] test_min_loss: [1.4144] test_acc: [0.6400]
Step: [4751/67851] train_min_loss: [0.1640] train_acc: [0.9400] test_min_loss: [1.6329] test_acc: [0.6300]
Step: [5001/67851] train_min_loss: [0.2230] train_acc: [0.9200] test_min_loss: [1.0746] test_acc: [0.7700]
Step: [5251/67851] train_min_loss: [0.2401] train_acc: [0.9100] test_min_loss: [1.1204] test_acc: [0.6900]
Step: [5501/67851] train_min_loss: [0.1167] train_acc: [0.9500] test_min_loss: [1.4533] test_acc: [0.6500]
Step: [5751/67851] train_min_loss: [0.1547] train_acc: [0.9600] test_min_loss: [1.5932] test_acc: [0.6600]
Step: [6001/67851] train_min_loss: [0.1675] train_acc: [0.9400] test_min_loss: [1.6002] test_acc: [0.6600]
Step: [6251/67851] train_min_loss: [0.1715] train_acc: [0.9600] test_min_loss: [1.8552] test_acc: [0.6100]
Step: [6501/67851] train_min_loss: [0.1076] train_acc: [0.9600] test_min_loss: [1.8963] test_acc: [0.7000]
Step: [6751/67851] train_min_loss: [0.0736] train_acc: [0.9800] test_min_loss: [1.9080] test_acc: [0.6700]
Step: [7001/67851] train_min_loss: [0.0745] train_acc: [0.9700] test_min_loss: [2.1083] test_acc: [0.6400]
Step: [7251/67851] train_min_loss: [0.1553] train_acc: [0.9300] test_min_loss: [2.2247] test_acc: [0.6000]
Step: [7501/67851] train_min_loss: [0.1959] train_acc: [0.9600] test_min_loss: [1.7061] test_acc: [0.6600]
Step: [7751/67851] train_min_loss: [0.1333] train_acc: [0.9600] test_min_loss: [1.7892] test_acc: [0.7000]
Step: [8001/67851] train_min_loss: [0.1302] train_acc: [0.9500] test_min_loss: [1.6597] test_acc: [0.6200]
Step: [8251/67851] train_min_loss: [0.0552] train_acc: [0.9800] test_min_loss: [2.1332] test_acc: [0.6100]
