Step: [1/67851] train_min_loss: [2.9790] train_acc: [0.2200] test_min_loss: [3.2827] test_acc: [0.2200]
Step: [251/67851] train_min_loss: [1.1128] train_acc: [0.6400] test_min_loss: [1.2755] test_acc: [0.5600]
Step: [501/67851] train_min_loss: [1.0421] train_acc: [0.6700] test_min_loss: [0.9284] test_acc: [0.6600]
Step: [751/67851] train_min_loss: [0.7299] train_acc: [0.7500] test_min_loss: [1.3179] test_acc: [0.6200]
Step: [1001/67851] train_min_loss: [0.7274] train_acc: [0.7300] test_min_loss: [1.2114] test_acc: [0.6800]
Step: [1251/67851] train_min_loss: [0.5756] train_acc: [0.8300] test_min_loss: [1.0888] test_acc: [0.6600]
Step: [1501/67851] train_min_loss: [0.8577] train_acc: [0.7500] test_min_loss: [1.0003] test_acc: [0.7300]
Step: [1751/67851] train_min_loss: [0.4918] train_acc: [0.8300] test_min_loss: [1.0504] test_acc: [0.6600]
Step: [2001/67851] train_min_loss: [0.5818] train_acc: [0.7900] test_min_loss: [1.4787] test_acc: [0.6500]
Step: [2251/67851] train_min_loss: [0.6993] train_acc: [0.7600] test_min_loss: [1.4012] test_acc: [0.6200]
Step: [2501/67851] train_min_loss: [0.4308] train_acc: [0.8900] test_min_loss: [1.1485] test_acc: [0.6800]
Step: [2751/67851] train_min_loss: [0.5264] train_acc: [0.8100] test_min_loss: [1.2879] test_acc: [0.6400]
Step: [3001/67851] train_min_loss: [0.5167] train_acc: [0.8400] test_min_loss: [1.3195] test_acc: [0.6600]
Step: [3251/67851] train_min_loss: [0.4699] train_acc: [0.8400] test_min_loss: [1.9164] test_acc: [0.5700]
Step: [3501/67851] train_min_loss: [0.5979] train_acc: [0.8000] test_min_loss: [1.1221] test_acc: [0.7300]
Step: [3751/67851] train_min_loss: [0.3287] train_acc: [0.9100] test_min_loss: [0.7814] test_acc: [0.7400]
Step: [4001/67851] train_min_loss: [0.2532] train_acc: [0.8900] test_min_loss: [1.5529] test_acc: [0.6200]
Step: [4251/67851] train_min_loss: [0.3174] train_acc: [0.9100] test_min_loss: [1.5122] test_acc: [0.6700]
Step: [4501/67851] train_min_loss: [0.2767] train_acc: [0.9000] test_min_loss: [1.4100] test_acc: [0.6900]
Step: [4751/67851] train_min_loss: [0.2428] train_acc: [0.9400] test_min_loss: [1.3894] test_acc: [0.7400]
Step: [5001/67851] train_min_loss: [0.2319] train_acc: [0.9000] test_min_loss: [1.9411] test_acc: [0.5800]
Step: [5251/67851] train_min_loss: [0.1607] train_acc: [0.9300] test_min_loss: [1.5626] test_acc: [0.6500]
Step: [5501/67851] train_min_loss: [0.4109] train_acc: [0.8600] test_min_loss: [1.1710] test_acc: [0.7000]
Step: [5751/67851] train_min_loss: [0.2611] train_acc: [0.9100] test_min_loss: [1.5144] test_acc: [0.7100]
Step: [6001/67851] train_min_loss: [0.1951] train_acc: [0.9100] test_min_loss: [1.5768] test_acc: [0.7500]
Step: [6251/67851] train_min_loss: [0.2246] train_acc: [0.9200] test_min_loss: [3.1621] test_acc: [0.5900]
Step: [6501/67851] train_min_loss: [0.2603] train_acc: [0.9200] test_min_loss: [2.3303] test_acc: [0.6500]
Step: [6751/67851] train_min_loss: [0.1388] train_acc: [0.9500] test_min_loss: [2.5266] test_acc: [0.6900]
Step: [7001/67851] train_min_loss: [0.2469] train_acc: [0.9300] test_min_loss: [1.6369] test_acc: [0.7200]
Step: [7251/67851] train_min_loss: [0.1783] train_acc: [0.9400] test_min_loss: [1.4484] test_acc: [0.6700]
Step: [7501/67851] train_min_loss: [0.1086] train_acc: [0.9800] test_min_loss: [2.1180] test_acc: [0.5900]
Step: [7751/67851] train_min_loss: [0.2355] train_acc: [0.9300] test_min_loss: [2.7292] test_acc: [0.5800]
Step: [8001/67851] train_min_loss: [0.0887] train_acc: [0.9800] test_min_loss: [2.0997] test_acc: [0.6500]
Step: [8251/67851] train_min_loss: [0.1116] train_acc: [0.9700] test_min_loss: [1.4511] test_acc: [0.6700]
Step: [8501/67851] train_min_loss: [0.0694] train_acc: [0.9800] test_min_loss: [1.9036] test_acc: [0.7300]
Step: [8751/67851] train_min_loss: [0.1545] train_acc: [0.9400] test_min_loss: [3.1601] test_acc: [0.6500]
Step: [9001/67851] train_min_loss: [0.0841] train_acc: [0.9600] test_min_loss: [3.4427] test_acc: [0.6100]
Step: [9251/67851] train_min_loss: [0.0756] train_acc: [0.9800] test_min_loss: [2.4548] test_acc: [0.6800]
Step: [9501/67851] train_min_loss: [0.0372] train_acc: [0.9800] test_min_loss: [2.7776] test_acc: [0.6600]
Step: [9751/67851] train_min_loss: [0.1112] train_acc: [0.9500] test_min_loss: [2.1451] test_acc: [0.6300]
