Step: [13501/67851] train_min_loss: [0.0216] train_acc: [1.0000] test_min_loss: [3.8863] test_acc: [0.5900]
Step: [13751/67851] train_min_loss: [0.0141] train_acc: [1.0000] test_min_loss: [2.7818] test_acc: [0.5600]
Step: [14001/67851] train_min_loss: [0.0476] train_acc: [0.9800] test_min_loss: [3.1713] test_acc: [0.5500]
Step: [14251/67851] train_min_loss: [0.0462] train_acc: [0.9800] test_min_loss: [2.7457] test_acc: [0.6700]
Step: [14501/67851] train_min_loss: [0.0351] train_acc: [0.9900] test_min_loss: [2.5920] test_acc: [0.5800]
Step: [14751/67851] train_min_loss: [0.1142] train_acc: [0.9800] test_min_loss: [2.3975] test_acc: [0.6100]
Step: [15001/67851] train_min_loss: [0.0969] train_acc: [0.9600] test_min_loss: [3.1425] test_acc: [0.6700]
Step: [15251/67851] train_min_loss: [0.0798] train_acc: [0.9700] test_min_loss: [1.8979] test_acc: [0.6600]
Step: [15501/67851] train_min_loss: [0.0710] train_acc: [0.9600] test_min_loss: [2.8099] test_acc: [0.6300]
Step: [15751/67851] train_min_loss: [0.0205] train_acc: [1.0000] test_min_loss: [4.3770] test_acc: [0.5800]
Step: [16001/67851] train_min_loss: [0.0775] train_acc: [0.9600] test_min_loss: [3.4208] test_acc: [0.5800]
Step: [16251/67851] train_min_loss: [0.0532] train_acc: [0.9800] test_min_loss: [2.2715] test_acc: [0.7100]
Step: [16501/67851] train_min_loss: [0.0331] train_acc: [0.9900] test_min_loss: [2.1964] test_acc: [0.7500]
Step: [16751/67851] train_min_loss: [0.0239] train_acc: [0.9900] test_min_loss: [2.7211] test_acc: [0.6400]
Step: [17001/67851] train_min_loss: [0.1187] train_acc: [0.9400] test_min_loss: [2.7590] test_acc: [0.6700]
Step: [17251/67851] train_min_loss: [0.1256] train_acc: [0.9600] test_min_loss: [3.5928] test_acc: [0.6400]
Step: [17501/67851] train_min_loss: [0.0643] train_acc: [0.9800] test_min_loss: [2.2324] test_acc: [0.7100]
Step: [17751/67851] train_min_loss: [0.0073] train_acc: [1.0000] test_min_loss: [3.2026] test_acc: [0.6800]
Step: [18001/67851] train_min_loss: [0.0112] train_acc: [1.0000] test_min_loss: [2.6318] test_acc: [0.7000]
Step: [18251/67851] train_min_loss: [0.0091] train_acc: [1.0000] test_min_loss: [2.5654] test_acc: [0.7400]
Step: [18501/67851] train_min_loss: [0.0770] train_acc: [0.9900] test_min_loss: [2.8381] test_acc: [0.7100]
